url,name,x1,x2,y1,y2
https://c5.staticflickr.com/1/236/445576954_e90c2be159_o.jpg,Bag,,,,
https://c1.staticflickr.com/9/8422/7852969290_5d7ae56911_o.jpg,Bag,,,,
https://farm8.staticflickr.com/5559/14828066548_6919230df7_o.jpg,Bag,0.094331,0.961551,0.362956,0.739952
https://farm8.staticflickr.com/5559/14828066548_6919230df7_o.jpg,Bag,0.094331,0.961551,0.362956,0.739952
https://c4.staticflickr.com/3/2480/3899019668_007c5b6d1e_o.jpg,Bag,0.329,0.777,0.431,0.92
https://farm2.staticflickr.com/7435/9733294871_f42a94ca3a_o.jpg,Bag,,,,
https://farm1.staticflickr.com/7092/7031254641_388d0c8989_o.jpg,Bag,,,,
https://c5.staticflickr.com/6/5468/10034160334_1611af707a_o.jpg,Bag,,,,
https://c6.staticflickr.com/8/7015/6596024725_919457cb6d_o.jpg,Bag,,,,
https://c4.staticflickr.com/5/4147/5057681100_357ae7b4e1_o.jpg,Bag,,,,
https://farm7.staticflickr.com/8534/8691513636_a908d08e8d_o.jpg,Bag,,,,
https://farm3.staticflickr.com/8620/16337322936_276c8c40bf_o.jpg,Bag,,,,
https://farm3.staticflickr.com/4138/4941552097_e9ee01bb66_o.jpg,Bag,0.342,0.628,0.323,0.877
https://farm3.staticflickr.com/4138/4941552097_e9ee01bb66_o.jpg,Bag,0.186,0.259,0.029,0.186
https://farm3.staticflickr.com/4138/4941552097_e9ee01bb66_o.jpg,Bag,0.187,0.26,0.036,0.185
https://farm3.staticflickr.com/4138/4941552097_e9ee01bb66_o.jpg,Bag,0.033,0.323,0.0,0.191
https://farm3.staticflickr.com/4138/4941552097_e9ee01bb66_o.jpg,Bag,0.368,0.614,0.284,0.909
https://farm8.staticflickr.com/7514/16280657326_d673281de4_o.jpg,Bag,,,,
https://farm3.staticflickr.com/5543/9118521392_31e7a68f0c_o.jpg,Bag,0.14,0.82,0.051,0.924
https://farm3.staticflickr.com/5543/9118521392_31e7a68f0c_o.jpg,Bag,0.14,0.82,0.051,0.924
https://c8.staticflickr.com/8/7547/15961136927_981865fd45_o.jpg,Bag,,,,
https://c3.staticflickr.com/4/3455/3895919444_538cdf995f_o.jpg,Bag,,,,
https://c6.staticflickr.com/9/8095/8518254566_a74b07069e_o.jpg,Bag,,,,
https://c5.staticflickr.com/9/8194/8106395819_d9fb3eb363_o.jpg,Bag,,,,
https://c8.staticflickr.com/5/4056/4376528777_55bde1c586_o.jpg,Bag,0.118,0.926,0.141,0.998
https://c8.staticflickr.com/5/4056/4376528777_55bde1c586_o.jpg,Bag,0.075,0.95,0.157,0.989
https://c2.staticflickr.com/4/3414/3255890495_da0435afcf_o.jpg,Bag,,,,
https://c3.staticflickr.com/4/3810/9036236861_2b76cc965e_o.jpg,Bag,,,,
https://c4.staticflickr.com/3/2714/4356945929_7a36ebe688_o.jpg,Bag,,,,
https://c8.staticflickr.com/8/7431/10293214274_2a2ffb063a_o.jpg,Bag,,,,
https://farm6.staticflickr.com/3810/10403446734_c331c1c61f_o.jpg,Bag,,,,
https://c3.staticflickr.com/2/1007/3173940280_0cc9318db4_o.jpg,Bag,0.074,0.984,0.023,0.943
https://c3.staticflickr.com/2/1007/3173940280_0cc9318db4_o.jpg,Bag,0.074,0.984,0.023,0.943
https://farm4.staticflickr.com/7069/6901703403_6a1eaa9d4d_o.jpg,Bag,,,,
https://farm4.staticflickr.com/8178/7898491372_2e0a807177_o.jpg,Bag,0.0,1.0,1.6e-05,0.999979
https://farm4.staticflickr.com/8178/7898491372_2e0a807177_o.jpg,Bag,0.0,1.0,1.6e-05,0.999979
https://farm1.staticflickr.com/2232/1763659074_02241917c8_o.jpg,Bag,,,,
https://c1.staticflickr.com/6/5110/5692341899_b369a12f6a_o.jpg,Bag,0.103403,0.882285,0.039207,0.969141
https://c1.staticflickr.com/6/5110/5692341899_b369a12f6a_o.jpg,Bag,0.103403,0.882285,0.039207,0.969141
https://farm1.staticflickr.com/3561/3356804196_b71681de15_o.jpg,Bag,,,,
https://farm8.staticflickr.com/3816/9671794427_23a2e1db93_o.jpg,Bag,,,,
https://farm5.staticflickr.com/5106/5863891884_5b84f14c15_o.jpg,Bag,,,,
https://farm1.staticflickr.com/8022/7468162164_5d07b8207f_o.jpg,Bag,,,,
https://c8.staticflickr.com/2/1170/1466198389_07b3591233_o.jpg,Bag,0.056,0.894,0.131,0.924
https://c4.staticflickr.com/4/3841/15034952620_473774b7a9_o.jpg,Bag,,,,
https://farm2.staticflickr.com/8700/16278971823_a30ba3da5e_o.jpg,Bag,0.054,0.941,0.12,0.897
https://farm4.staticflickr.com/3309/4625609450_ba2eb96d5c_o.jpg,Bag,,,,
https://c6.staticflickr.com/3/2701/4344223851_788eb6d062_o.jpg,Bag,,,,
https://farm2.staticflickr.com/2876/13761592775_3ba96284fa_o.jpg,Bag,,,,
https://farm4.staticflickr.com/3404/3602646602_7b3b983a50_o.jpg,Bag,0.852,0.95,0.12,0.212
https://farm5.staticflickr.com/3251/3106083426_f5e591e797_o.jpg,Bag,,,,
https://farm1.staticflickr.com/8491/8313247429_d6d7bfda8e_o.jpg,Bag,0.366787,0.980991,0.024649,0.851222
https://farm2.staticflickr.com/8294/7852954992_9f453b05d9_o.jpg,Bag,,,,
https://farm4.staticflickr.com/8451/8014742153_5564dc9599_o.jpg,Bag,,,,
https://farm3.staticflickr.com/2536/3940015691_8a10ea7033_o.jpg,Bag,0.472163,0.960194,0.0,0.894386
https://farm3.staticflickr.com/2536/3940015691_8a10ea7033_o.jpg,Bag,0.328457,0.345885,0.066653,0.146927
https://farm3.staticflickr.com/2536/3940015691_8a10ea7033_o.jpg,Bag,0.421542,0.513374,0.085549,0.240469
https://farm3.staticflickr.com/2536/3940015691_8a10ea7033_o.jpg,Bag,0.545723,0.777281,0.0,0.195065
https://farm3.staticflickr.com/2536/3940015691_8a10ea7033_o.jpg,Bag,0.229199,0.509844,0.0,0.239589
https://farm3.staticflickr.com/2536/3940015691_8a10ea7033_o.jpg,Bag,0.407431,0.511864,0.0,0.239894
